1.5, 1.0
0.85, 0.30
0.67, 1.00
-0.5, 0.625
0.1, 0.8
1.00, 1.00
-2, 0.5
1.0, 0.0
-0.2, 1.0
2.0, 2.0
1.0, 1.0
|None|
0.0, 0.5
1.0, 1.0
-0.67, 1.67
0.00, 0.50
2.0, 1.0
0.0, 0.5
-1.33, 0.00
1.5, 1.0
-0.5, 1.0
0.05, 0.55
1. Average Valence score: 1.5
-1.33, 1.33
2, 2
1.0, 0.5
1.0, 1.0
-0.5, 0.4
-1.0, 0.0
-0.67, 1.67
1.0, 1.0
1.0, 1.0
0.25, 0.25
0.0, 1.2
0.5, 0.5
1.5, 1.0
0.25, 1.00
-0.5, 0.75
-0.5, 0.5
1.5, 1.5
0.0, 0.67
0.78, 1
-0.67, 1.00
-0.50, 0.75
1.5, 1.0
1.0, 1.0
-0.5, 0.1
-0.05, 0.75
-1.00, 0.20
2.00, 0.00
1.0, 0.8
1.75, 0.25
0.70, 1.50
1.05, 0.65
0.20, 0.80
0.0, 0.5
0.5, 1.0
0.00, 0.50
1.0, 1.0
0.00, 1.00
avg_valence_score, avg_arousal_score
0.5, 0.1
0.30, 1.20
-1.00, 1.00
2.00, 0.50
0.58, 0.91
1.0, 1.0
-0.10, 0.50
0.75, 0.30
0.5, 1.0
1.5, 1.8
1.0, 1.5
+1.75, +1.5
-0.71, 1.14
-1.5, 1.5
0.60, 0.55
-1.0, 1.0
- Valence: The future texts seem to have a mix of positive, neutral, and negative emotions. Given the previous texts, we can expect a slightly positive average valence.
-0.5, 0.8
-1.0, 1.0
1.5, 0.5
0.36, 0.43
-0.5, 0.9
-1.0, 0.5
--0.33, 0.00
-1.00, 0.89
+2, 0.5
1.5, 1.0
-0.17, 0.83
-0.5, 0.5
1.05, 0.85
1.0, 1.33
-0.14, 0.57
1.00, 1.00
0.42, 0.5
0.0, 1.0
-0.25, 0.25
0.25, 0.85
0.5, 1.0
1.00, 1.00
0, 0.5
1.2, 1.0
-0.57, 0.71
0.5, 0.2
1.0, 1.0
1.00, 1.00
1.0, 0.5
avg_valence_score, avg_arousal_score
0.00, 1.00
0.5, 0.5
0.25, 1.0
|None|
avg_valence_score, avg_arousal_score
0.00, 1.20
0.75, 0.75
1.2, 0.5
1.5, 0.5
-0.5, 0.75
0.06, 0.78
1.2, 1.0
1.0, 1.22
1.00, 1.00
-2, 0.5
-0.75, 1.25
1.5, 1.0
1.2, 1.0
-1.0, 0.5
0.00, 0.89
0.1, 0.6
1.0, 0.5
Based on the emotional patterns observed, the predicted average scores for the future texts are:
-1.00, 0.50
0.00, 0.50
0.00, 0.00
-0.10, 1.00
0.0, 0.625
0.00, 1.00
